Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
0,0,12,0.0,0.0,100.0,-100.0,0,0.0,0.717948717948718,0.9,0,0.1,0.1,0.8,0.1,1000000.0,1000000.0,100000.0,0.0,0.0,0.013956096642016778,0
0,0,14,0.0,0.0,100.0,-100.0,0,0.0,0.7214303306716942,0.9,0,0.1,0.1,0.8038839072420632,0.1,1000042.0777027668,999787.456,99984.89381662541,0.0,0.0,0.013888668765515554,0
0,0,18,0.0,0.0,100.0,-100.0,0,0.0,0.7248455434678943,0.9,0,0.1,0.1,0.8076940578020594,0.1,1000083.3563360522,999577.9359999998,99970.07450466532,0.0,0.0,0.013823151483862477,0
0,8,21,0.0,0.0,100.0,-100.0,0,0.0,0.7279892039306235,0.9,0,0.1,0.1,0.8117247117680315,0.1,1005063.3190465822,999355.2400000002,98182.23379671013,0.0,0.0,0.013754512030679747,0
0,19,12,0.0,0.0,100.0,-100.0,0,0.0,1.2904974359501518,0.9,0.0,0.1,0.1,1.440356483044305,0.1,1011873.8269122494,964449.64,95737.21484539495,0.0,0.0,0.007751468087966381,0
1,5,29,0.0,0.0,100.0,-100.0,0,0.0,1.5940823828578148,0.9,0,0.1,0.1,1.7802457931927649,0.1,1015556.1397160118,930960.9999999998,94415.2393382149,0.0,0.0,0.006271536973324271,0
1,16,9,0.0,0.0,100.0,-100.0,0,0.0,1.8450314439734419,0.9,0.0,0.1,0.1,2.0614859988107312,0.1,1018603.0564008211,896712.0399999999,93321.3753879223,0.0,0.0,0.005415936523485701,0
2,2,57,0.0,0.0,100.0,-100.0,0,0.0,2.068070668567188,0.9,0,0.1,0.1,2.3117100626240084,0.1,1021313.9485838866,861426.2799999998,92348.14653431784,0.0,0.0,0.004829704855348612,0
2,13,45,0.0,0.0,100.0,-100.0,0,0.0,2.2640753212240514,0.9,0.0,0.1,0.1,2.5317896826655955,0.1,1023698.2601186394,826624.3599999995,91492.16236936314,0.0,0.0,0.004409875508244621,0
3,0,23,0.0,0.0,100.0,-100.0,0,0.0,2.4425286245683435,0.9,0,0.1,0.1,2.7323394472421896,0.1,1025870.9879563266,791891.5599999992,90712.13820024418,0.0,0.0,0.004086197022438916,0
3,11,14,0.0,0.0,100.0,-100.0,0,0.0,2.6082605259576233,0.9,0.0,0.1,0.1,2.9187238646135016,0.1,1027890.2504221231,757055.0799999991,89987.20915032121,0.0,0.0,0.0038252598846283386,0
3,21,20,0.0,0.0,100.0,-100.0,0,0.0,2.754984355962026,0.9,0,0.1,0.1,3.0838588476240827,0.1,1029679.2995158517,724084.8399999993,89344.92827710624,0.0,0.0,0.003620424236412524,0
4,8,25,0.0,0.0,100.0,-100.0,0,0.0,2.906401039191926,0.9,0,0.1,0.1,3.2544042273672193,0.1,1031526.9640839908,688107.879999999,88681.60404727192,0.0,0.0,0.0034306977663452923,0
4,19,17,0.0,0.0,100.0,-100.0,0,0.0,3.0455259266247015,0.9,0.0,0.1,0.1,3.411199729000483,0.1,1033225.6644137665,653202.279999999,88071.75899888063,0.0,0.0,0.003273006039105447,0
5,5,25,0.0,0.0,100.0,-100.0,0,0.0,3.171322869200223,0.9,0,0.1,0.1,3.553086557410402,0.1,1034762.8462825071,620093.7999999988,87519.90018382279,0.0,0.0,0.0031423037781975276,0
5,16,31,0.0,0.0,100.0,-100.0,0,0.0,3.3012337893406665,0.9,0.0,0.1,0.1,3.6996874444878847,0.1,1036351.0995973656,584462.4399999988,86949.7063699525,0.0,0.0,0.003017789335217455,0
5,17,15,0.0,0.0,100.0,-100.0,0,0.0,3.4191846618116712,0.9,0.0,1,1.0,3.832012614853069,0.1,1036452.6826989999,550973.7999999986,86913.23734098604,0.0,0.0,0.029135805217179667,0
5,17,19,0.0,0.0,100.0,-100.0,0,0.0,3.42670360350222,0.9,0.0,1,1.0,3.8405000023856672,0.1,1036544.6338573587,550751.3199999984,86880.22624559994,0.0,0.0,0.029071415978851652,0
5,17,23,0.0,0.0,100.0,-100.0,0,0.0,3.433736450436338,0.9,0.0,1,1.0,3.8484424268741417,0.1,1036630.68096303,550542.6639999982,86849.33474555005,0.0,0.0,0.029011418322508215,0
5,17,27,0.0,0.0,100.0,-100.0,0,0.0,3.441234071951443,0.9,0.0,1,1.0,3.85690998996611,0.1,1036722.4173461972,550319.751999998,86816.40075592803,0.0,0.0,0.028947725880716094,0
5,17,31,0.0,0.0,100.0,-100.0,0,0.0,3.4482365200129053,0.9,0.0,1,1.0,3.8648186218362586,0.1,1036808.0983474118,550111.0959999979,86785.64068988462,0.0,0.0,0.028888489748346253,0
5,17,35,0.0,0.0,100.0,-100.0,0,0.0,3.4556873945267412,0.9,0.0,1,1.0,3.8732339652907513,0.1,1036899.2689903989,549888.6159999977,86752.90980486064,0.0,0.0,0.02882572396520679,0
5,17,39,0.0,0.0,100.0,-100.0,0,0.0,3.462811206644287,0.9,0.0,1,1.0,3.8812804679447916,0.1,1036986.4436642231,549675.4239999976,86721.61350012409,0.0,0.0,0.02876596372208436,0
5,17,43,0.0,0.0,100.0,-100.0,0,0.0,3.470179774931844,0.9,0.0,1,1.0,3.88960316994671,0.1,1037076.6106427907,549454.4559999976,86689.24293749804,0.0,0.0,0.028704412316093438,0
5,17,47,0.0,0.0,100.0,-100.0,0,0.0,3.4770861547082252,0.9,0.0,1,1.0,3.897404736721743,0.1,1037161.1317158791,549246.8799999974,86658.89929359317,0.0,0.0,0.02864695372388925,0
5,17,51,0.0,0.0,100.0,-100.0,0,0.0,3.4844663307584307,0.9,0.0,1,1.0,3.9057416177503623,0.1,1037251.4523080208,549024.6159999974,86626.47358264249,0.0,0.0,0.02858580624707125,0
5,17,55,0.0,0.0,100.0,-100.0,0,1,3.4914730325610024,0.9,11.419596146678696,1,1.0,3.913656471971083,0.1,1037337.2007213032,548813.1519999973,86595.68931520516,0.0,0.0,0.0373427170625547,0
5,17,59,0.0,0.0,100.0,-100.0,0,1,3.5007943344763826,0.9,11.155497987917704,1,1.0,3.924186047280657,0.1,1037366.2659579521,548597.7999999973,86554.7352744495,0.0,0.0,0.037064557968890674,0
5,18,3,0.0,0.0,100.0,-100.0,0,1,3.5099895436183375,0.9,10.888834276382351,1,1.0,3.934574294161615,0.1,1037396.244334354,548383.7439999968,86514.33092065218,0.0,0.0,0.03678748482778406,0
5,18,7,0.0,0.0,100.0,-100.0,0,1,3.5191613961588035,0.9,10.616423775954312,1,1.0,3.944936905675319,0.1,1037427.474127971,548168.6079999964,86474.02627380834,0.0,0.0,0.03650825614977872,0
5,18,11,0.0,0.0,100.0,-100.0,0,1,3.5284736578007423,0.9,10.334652242831304,1,1.0,3.955458342592621,0.1,1037460.5708903818,547948.5039999962,86433.10388675547,0.0,0.0,0.03622277786759545,0
5,18,24,0.0,0.0,100.0,-100.0,0,1,3.537328599373156,0.9,9.543375491540274,1,1.0,3.9656106600576897,0.1,1037562.6628349117,547734.4479999961,86312.17330732993,0.0,0.0,0.0355888147867142,0
5,18,44,0.0,0.0,100.0,-100.0,0,1,3.5817250639823115,0.9,8.085645047166443,1,1.0,4.015785785885752,0.1,1037747.7516949219,546657.6879999961,86117.02069312918,0.0,0.0,0.03409078413253181,0
5,19,4,0.0,0.0,100.0,-100.0,0,1,3.6240724047201343,0.9,6.574266490466476,1,1.0,4.063656072329039,0.1,1037964.3603695577,545585.2479999961,85930.8325892077,0.0,0.0,0.032595004505555754,0
5,19,24,0.0,0.0,100.0,-100.0,0,1,3.665408218699333,0.9,4.980012552539559,1,1.0,4.110393928463099,0.1,1038219.6087595595,544490.1279999962,85749.04899312953,0.0,0.0,0.031080494796526293,0
5,19,44,0.0,0.0,100.0,-100.0,0,1,3.7045808363731583,0.9,3.3564791431426952,1,1.0,4.154696429376934,0.1,1038508.5645924797,543401.4879999963,85576.73753947036,0.0,0.0,0.029586047767987483,0
5,20,4,0.0,0.0,100.0,-100.0,0,1,3.7413414358911616,0.9,1.7316229324232282,1,1.0,4.196283001641855,0.1,1038828.6713594882,542327.9679999964,85414.98949879858,0.0,0.0,0.02802212915834316,0
5,20,24,0.0,0.0,100.0,-100.0,0,1,3.776120018562953,0.9,0.09540195606760704,1,1.0,4.235631681459422,0.1,1039186.9846460241,541255.5279999964,85261.94558301325,0.0,0.0,0.026438754590771683,0
5,20,44,0.0,0.0,100.0,-100.0,0,0.0,3.810446912549688,0.9,0.0,1,1.0,4.2744767890114295,0.1,1039603.8400642762,540133.4079999963,85110.8602760494,0.0,0.0,0.026119868851119877,0
5,21,4,0.0,0.0,100.0,-100.0,0,0.0,3.8417109193635626,0.9,0.0,1,1.0,4.30986155176363,0.1,1039987.1935886446,539098.7679999961,84973.23373620506,0.0,0.0,0.02590541988302306,0
5,21,24,0.0,0.0,100.0,-100.0,0,0.0,3.8745573354663505,0.9,0.0,1,1.0,4.347043870131044,0.1,1040390.0215767857,538002.5679999961,84828.6157305361,0.0,0.0,0.025683838597370418,0
5,21,44,0.0,0.0,100.0,-100.0,0,0.0,3.9070529565989265,0.9,0.0,1,1.0,4.383835511600244,0.1,1040788.617026564,536908.5279999962,84685.51723511712,0.0,0.0,0.025468285212959255,0
5,22,4,0.0,0.0,100.0,-100.0,0,0.0,3.9391421849607267,0.9,0.0,1,1.0,4.420174317987101,0.1,1041182.3065249873,535818.8079999961,84544.18000982277,0.0,0.0,0.025258907252096292,0
5,22,25,0.0,0.0,100.0,-100.0,0,0.0,3.97108855604638,0.9,0.0,1,1.0,4.456357252870439,0.1,1041574.3073335459,534724.7679999962,84403.44903575133,0.0,0.0,0.025053820149679145,0
5,22,44,0.0,0.0,100.0,-100.0,0,0.0,4.000924166025024,0.9,0.0,1,1.0,4.4901561179275635,0.1,1041940.4794661683,533694.4479999962,84271.99073317487,0.0,0.0,0.024865231899256508,0
5,23,4,0.0,0.0,100.0,-100.0,0,0.0,4.0323923225311304,0.9,0.0,1,1.0,4.5258102817749535,0.1,1042326.7516439701,532599.327999996,84133.31637676565,0.0,0.0,0.02466934453389134,0
5,23,24,0.0,0.0,100.0,-100.0,0,0.0,4.063637712702826,0.9,0.0,1,1.0,4.5612184483484555,0.1,1042710.3587220337,531503.127999996,83995.59880940855,0.0,0.0,0.024477839507239654,0
5,23,45,0.0,0.0,100.0,-100.0,0,0.0,4.094757409863538,0.9,0.0,1,1.0,4.596490202111588,0.1,1043092.4879229685,530402.6079999959,83858.41181005933,0.0,0.0,0.024290005684085587,0
6,0,52,0.0,0.0,100.0,-100.0,0,0.0,4.12347520383989,0.9,0.0,1,1.0,4.62939603687209,0.1,1044205.5182265777,529367.967999996,83458.82631079985,0.0,0.0,0.024117351863369864,0
6,7,29,0.0,0.0,100.0,-100.0,0,0.0,4.719752586695399,0.9,0.0,1,1.0,5.306707850800941,0.1,1051543.4188021515,507919.16799999605,80824.46976588086,0.0,0.0,0.021039178389909485,0
6,14,37,0.0,0.0,100.0,-100.0,0,1,5.254778531410528,0.9,18.76345842168782,1,1.0,5.916613174286443,0.1,1058151.0469760776,485779.167999996,78452.28601289855,0.0,0.0,0.027983183506553322,0
6,21,43,0.0,0.0,100.0,-100.0,0,0.0,5.935108250753134,0.9,0.0,1,1.0,6.695370242719682,0.1,1087953.7024271968,464524.767999996,75423.36530320528,0.0,0.0,0.0166755189166033,0
7,3,50,0.0,0.0,100.0,-100.0,0,0.0,6.361165657111091,0.9,0.0,1,1.0,7.185851571130291,0.1,1092858.5157113029,442060.7679999962,73515.67275881572,0.0,0.0,0.015537305778022441,0
7,10,24,0.0,0.0,100.0,-100.0,0,1,6.722963679395414,0.9,6.529970135526447,1,1.0,7.603306026788222,0.1,1097033.0602678822,421540.7679999963,71892.0130870776,0.0,0.0,0.017403514691858316,0
7,17,43,0.0,0.0,100.0,-100.0,0,1,7.165781266884821,0.9,15.623795008309939,1,1.0,8.116184493890707,0.1,1099848.6298787524,399033.56799999636,69897.2084509055,0.0,0.0,0.01937654022135265,0
8,0,18,0.0,0.0,100.0,-100.0,0,0.0,7.61781758586605,0.9,0.0,1,1.0,8.642271105895025,0.1,1100329.086376975,378297.56799999654,67851.03166640697,0.0,0.0,0.012918915846087824,0
8,6,21,0.0,0.0,100.0,-100.0,0,0.0,7.937998973151492,0.9,0.0,1,1.0,9.01677791420125,0.1,1104386.440268806,356157.56799999665,66394.41384092512,0.0,0.0,0.012382335929588498,0
8,13,25,0.0,0.0,100.0,-100.0,0,1,8.2422751502416,0.9,17.101145201583467,1,1.0,9.373628610760209,0.1,1108252.51033849,334147.16799999675,65006.46821720128,0.0,0.0,0.017193990177916754,0
8,19,56,0.0,0.0,100.0,-100.0,0,1,8.646096733232648,0.9,5.681458377609353,1,1.0,9.849210504380318,0.1,1108406.9349206442,313022.3679999968,63156.72597391201,0.0,0.0,0.013180934393468517,0
9,2,43,0.0,0.0,100.0,-100.0,0,0.0,8.953580308283643,0.9,0.0,1,1.0,10.213792179352971,0.1,1110611.202675031,291897.5679999969,61738.711254737595,0.0,0.0,0.010931177291998417,0
9,8,50,0.0,0.0,100.0,-100.0,0,0.0,9.209198330220019,0.9,0.0,1,1.0,10.518001011791458,0.1,1113906.9582203175,270643.16799999675,60555.51244988002,0.0,0.0,0.010615018292065929,0
9,14,58,0.0,0.0,100.0,-100.0,0,1,9.474485019364021,0.9,18.703948236488575,1,1.0,10.834126054302676,0.1,1116957.7623220193,247898.36799999673,59460.25289030829,0.0,0.0,0.015267342355300384,0
9,14,58,0.0,0.0,100.0,-100.0,0,1,9.47447970311679,0.9,18.703948236488575,1,1.0,10.834119187885252,0.1,1107765.2003828366,247899.26259999667,59460.322446256076,0.0,0.0,0.015267352031393476,0
